,"US > RMB, 6.78",,,,,,,,,,,,
,"HK > RMB, 0.86",,,,,,,,,,,,
2026/07/30,,,,,,,,,,,,,
,,公司名称,代码,成本价,现价,涨跌幅,占比,仓位,数量,投入,当前,收益,股息
1,CN,海螺水泥,600585.SH,¥19.7,,,,,46200,912000,,,
2,HK,康方生物,09926.HK,HK$96.4,,,,,7000,582000,,,
3,HK,亚盛医药,06855.HK,HK$36.2,,,,,10000,312000,,,
4,US,传奇生物,LEGN.US,$20.2,,,,,800,109000,,,
5,US,SMMT,SMMT.US,$14.6,,,,,600,59000,,,
6,US,SMMT Call 270115,,,,,,,,14000,,,
7,HK,中国民航,00696.HK,HK$10.0,,,,,14000,121000,,,
8,US,PDD,PDD.US,$78.0,,,,,150,79000,,,
9,US,新氧,SY.US,$1.8,,,,,5000,61000,,,
10,HK,保利物业,06049.HK,HK$40.8,,,,,1600,56000,,,
11,HK,中海物业,02669.HK,HK$4.5,,,,,15000,59000,,,
12,HK,汇贤产业信托,87001.HK,HK$0.42,,,,,120000,43000,,,
13,HK,同仁堂国药,03613.HK,HK$10.3,,,,,2000,18000,,,
,总计,,,,,,,,,2425000,2281137.16,-143862.84,
,,,,,,,整体,,,2425000,2281137.1599999997,-143862.84,
,,,,,,,国内,,,912000,858396.0,-53604.0,
,,,,,,,境外,,,1513000,1422741.16,-90258.84,
