,US > RMB,6.764,,HK > RMB,0.8622,,,,RMB,1,,
,,,,,,,,,,,,
,2026/7/27,,,,,,,,,,,
,市场,公司名称,成本价,当前价,pos/cost,pos/curr,盈亏%,持有数量,投入,当前,,收到股息
,CN,海螺水泥,¥19.7 ,¥17.75 ,37.9%,36.1%,-10.1%,46200 ,91.2万,82.0万,,27754
44.34%,HK,康方生物,HK$96.4 ,HK$98.6 ,24.2%,26.2%,2.2%,7000 ,58.2万,59.5万,,
,HK,亚盛医药,HK$36.2 ,HK$36.0 ,13.0%,13.6%,-0.7%,10000 ,31.2万,31.0万,,
,US,传奇生物,$20.5 ,$18.92 ,4.0%,3.9%,-7.8%,700 ,9.7万,9.0万,,
,US,SMMT,$14.1 ,$13.25 ,3.2%,3.2%,-6.0%,800 ,7.6万,7.2万,,
,US,SMMT Call 270115,,,,,,,1.4万,1.4万,,
,HK,同仁堂国药,HK$10.3 ,HK$6.8 ,0.7%,0.5%,-34.1%,2000 ,1.8万,1.2万,,7200
,HK,中国民航,HK$10.0 ,HK$8.4 ,5.0%,4.5%,-16.2%,14000 ,12.1万,10.1万,,
,HK,中海物业,HK$4.5 ,HK$3.5 ,2.4%,2.0%,-23.9%,15000 ,5.9万,4.5万,,2070
,HK,保利物业,HK$40.8 ,HK$28.1 ,2.3%,1.7%,-31.2%,1600 ,5.6万,3.9万,,4259
,US,PDD,$78.0 ,$85.06 ,3.3%,3.8%,9.1%,150 ,7.9万,8.6万,,
,US,新氧,$1.8 ,$2.13 ,2.0%,2.5%,21.3%,4000 ,4.8万,5.8万,,
,HK,汇贤产业信托,HK$0.416 ,HK$0.380 ,1.8%,1.7%,-8.6%,120000 ,4.3万,3.9万,,
,,总计,,,99.8%,99.8%,-5.67%,,241.6万,228.0万,,4.1万
,,,,,,,,,,,,
,现金,银行,A股,境外,信用卡,分期剩余,合计,整体,240.8万,227.2万,-13.7万,
,,,0,-0.8 ,,-0.3 ,-0.8 ,,100%,100%,-6%,
,,,,,,,,国内,205.2万,191.3万,-13.8万,
,年初,250.5万,,,,,,,100%,100%,-7%,
,工资结余,15.0万,,,,,,境外,35.7万,35.8万,0.1万,
,基数,258.0万,,,,,,,100%,102%,0%,
,收益,-30.8万,,,,,,,,,,
,收益率,-11.96%,,,,,,,,,,
,ps：基数=（初值+工资/2）,,,,,,,,,,,
,ps：公积金7.1w,,,,,,,,,,,
,EXP:,,,,,,,,,,,
,HK,HK$33.3 ,,,,,,,,,,
,US,$85.1 ,,,,,,,,,,
,CN,¥48.7 ,,,,,,,,,,
,,,,,,,,,,,,
,信用卡分期情况,,2025/10/15,,,,,,,,,
,购买日期,剩余待入账期数,分期期数,每月还款金额,总价,总待还款金额,,,,,,
,2024.10.06,2,24,375 ,8999 ,750 ,,,,,,
,2025.06.11 ,10,24,271 ,6498 ,2708 ,,,,,,
,累计,,,646 ,,3457 ,,,,,,
